      Date,    Time,Temp,SpCond,Turbidity,DateTime
09/10/2024,01:15:50,13.02,482,3.2,10/09/2024 01:15:00
09/10/2024,01:30:51,13,481,2.9,10/09/2024 01:30:00
09/10/2024,01:45:51,12.99,481,3,10/09/2024 01:45:00
09/10/2024,02:00:50,12.97,481,3.2,10/09/2024 02:00:00
09/10/2024,02:15:50,12.94,481,3.2,10/09/2024 02:15:00
09/10/2024,02:30:51,12.92,480,3,10/09/2024 02:30:00
09/10/2024,02:45:50,12.91,480,3.4,10/09/2024 02:45:00
09/10/2024,03:00:51,12.9,480,3.1,10/09/2024 03:00:00
09/10/2024,03:15:50,12.89,480,3.3,10/09/2024 03:15:00
09/10/2024,03:30:50,12.87,480,3.3,10/09/2024 03:30:00
09/10/2024,03:45:50,12.86,479,3.2,10/09/2024 03:45:00
09/10/2024,04:00:50,12.85,479,3.4,10/09/2024 04:00:00
09/10/2024,04:15:50,12.83,479,3.6,10/09/2024 04:15:00
09/10/2024,04:30:50,12.81,479,3.4,10/09/2024 04:30:00
09/10/2024,04:45:51,12.8,479,3.4,10/09/2024 04:45:00
09/10/2024,05:00:50,12.78,479,3.4,10/09/2024 05:00:00
09/10/2024,05:15:50,12.76,479,3.9,10/09/2024 05:15:00
09/10/2024,05:30:50,12.74,479,3.7,10/09/2024 05:30:00
09/10/2024,05:45:50,12.72,480,3.9,10/09/2024 05:45:00
09/10/2024,06:00:50,12.7,479,3.4,10/09/2024 06:00:00
09/10/2024,06:15:50,12.67,480,3.5,10/09/2024 06:15:00
09/10/2024,06:30:50,12.64,480,3.6,10/09/2024 06:30:00
09/10/2024,06:45:50,12.63,480,3.7,10/09/2024 06:45:00
09/10/2024,07:00:50,12.61,480,3.3,10/09/2024 07:00:00
09/10/2024,07:15:50,12.6,480,3.6,10/09/2024 07:15:00
09/10/2024,07:30:50,12.59,481,3.6,10/09/2024 07:30:00
09/10/2024,07:45:50,12.59,481,3.3,10/09/2024 07:45:00
09/10/2024,08:00:50,12.58,481,3.5,10/09/2024 08:00:00
09/10/2024,08:15:51,12.57,481,4,10/09/2024 08:15:00
09/10/2024,08:30:51,12.57,482,3.5,10/09/2024 08:30:00
09/10/2024,08:45:51,12.57,482,3.7,10/09/2024 08:45:00
09/10/2024,09:00:51,12.57,482,4.2,10/09/2024 09:00:00
09/10/2024,09:15:51,12.58,482,4.3,10/09/2024 09:15:00
09/10/2024,09:30:50,12.6,482,3.9,10/09/2024 09:30:00
09/10/2024,09:45:51,12.61,482,3.6,10/09/2024 09:45:00
09/10/2024,10:00:51,12.62,482,4.2,10/09/2024 10:00:00
09/10/2024,10:15:51,12.65,482,3.5,10/09/2024 10:15:00
09/10/2024,10:30:51,12.68,482,3.7,10/09/2024 10:30:00
09/10/2024,10:45:50,12.7,482,3.6,10/09/2024 10:45:00
09/10/2024,11:00:51,12.72,482,4.3,10/09/2024 11:00:00
09/10/2024,11:15:51,12.75,482,3.6,10/09/2024 11:15:00
09/10/2024,11:30:51,12.79,482,3.9,10/09/2024 11:30:00
09/10/2024,11:45:51,12.81,482,3.5,10/09/2024 11:45:00
